# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov 13 15:10:53 CET 2022
# PARSEC isochrones, release v1.0 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.60000 2.1500000954 2.5744105556    2.149  1.191  3.7938  3.706    0 1.792 2.348 2.312 1.801 1.489 1.214 0.875 0.611 0.584
0.0152 0.01508 6.60000 2.1513359547 2.5744586032    2.150  1.194  3.7942  3.705    0 1.785 2.338 2.303 1.793 1.481 1.207 0.870 0.606 0.579
0.0152 0.01508 6.60000 2.1823623180 2.5755555431    2.181  1.262  3.8039  3.682    0 1.614 2.107 2.082 1.610 1.318 1.061 0.747 0.505 0.480
0.0152 0.01508 6.60000 2.2000000477 2.5761632879    2.199  1.301  3.8106  3.673    0 1.516 1.970 1.950 1.505 1.226 0.980 0.684 0.456 0.432
0.0152 0.01508 6.60000 2.2054963112 2.5763503902    2.204  1.314  3.8129  3.671    0 1.486 1.928 1.909 1.472 1.198 0.956 0.664 0.441 0.418
0.0152 0.01508 6.60000 2.2246634960 2.5769945635    2.223  1.357  3.8225  3.670    0 1.378 1.772 1.756 1.354 1.100 0.875 0.606 0.403 0.381
0.0152 0.01508 6.60000 2.2427113056 2.5775895563    2.241  1.398  3.8343  3.680    0 1.276 1.622 1.605 1.242 1.011 0.807 0.565 0.386 0.366
0.0152 0.01508 6.60000 2.2500000000 2.5778267375    2.249  1.414  3.8397  3.686    0 1.234 1.563 1.542 1.196 0.976 0.782 0.552 0.384 0.365
0.0152 0.01508 6.60000 2.2511637211 2.5778644427    2.250  1.417  3.8406  3.687    0 1.227 1.553 1.532 1.189 0.971 0.778 0.550 0.384 0.365
0.0152 0.01508 6.60000 2.2643148899 2.5782874511    2.263  1.447  3.8514  3.703    0 1.152 1.445 1.416 1.106 0.910 0.737 0.533 0.388 0.371
0.0152 0.01508 6.60000 2.2767276764 2.5786815582    2.275  1.476  3.8622  3.720    0 1.081 1.347 1.307 1.029 0.855 0.702 0.522 0.396 0.381
0.0152 0.01508 6.60000 2.2887415886 2.5790583232    2.287  1.503  3.8730  3.738    0 1.012 1.255 1.204 0.957 0.805 0.672 0.514 0.407 0.393
0.0152 0.01508 6.60000 2.2999999523 2.5794072884    2.299  1.529  3.8834  3.756    0 0.948 1.171 1.110 0.893 0.761 0.648 0.511 0.421 0.408
0.0152 0.01508 6.60000 2.3030133247 2.5795000257    2.302  1.536  3.8862  3.761    0 0.931 1.148 1.084 0.876 0.750 0.642 0.510 0.425 0.412
0.0152 0.01508 6.60000 2.3171455860 2.5799312514    2.316  1.568  3.8996  3.785    0 0.850 1.046 0.970 0.801 0.702 0.617 0.511 0.446 0.434
0.0152 0.01508 6.60000 2.3310749531 2.5803504073    2.330  1.599  3.9132  3.811    0 0.773 0.946 0.866 0.737 0.663 0.599 0.517 0.469 0.459
